status,year,age_0_14,age_15_24,age_25_44,age_45_64,age_65p,age_15_64,total_pop,dep_youth,dep_old,dep_total,pct_working_age,pct_seniors
Projection,2026,732.2,619.5,1710.7,1389.4,1201.6,3719.6,5653.4,0.1968491235616733,0.3230454887622325,0.5198946123239058,0.657940354476952,0.21254466338840344
Projection,2027,727,599.8,1721.8,1393.5,1235,3715.1,5677.1,0.19568786842884445,0.3324271217463864,0.5281149901752308,0.6544010146025259,0.21754064575223264
Projection,2028,724.9,595.8,1745.4,1398.6,1270.9,3739.9,5735.6,0.19382871199764698,0.3398219203722025,0.5336506323698494,0.6520503521863449,0.22158100285933469
Projection,2029,724.7,592.9,1770.4,1407.2,1304.6,3770.4,5799.7,0.1922077233184808,0.3460110333121154,0.5382187566305962,0.6501025915133541,0.22494266944841973
Projection,2030,724.3,596,1788.5,1421.7,1333.9,3806.3,5864.5,0.1902897827286341,0.3504453143472664,0.5407350970759004,0.6490408389462018,0.22745332082871517
Projection,2031,724,608.7,1797,1441.2,1358.5,3846.9,5929.3,0.1882034885232265,0.3531414905508331,0.5413449790740597,0.6487949673654563,0.22911642183731637
Projection,2032,723.6,626.2,1800.4,1464.2,1379.3,3890.8,5993.7,0.1859771769301943,0.35450292998869126,0.5404801069188856,0.649148272352637,0.23012496454610676
Projection,2033,725,637.2,1806.4,1487.8,1400.8,3931.4,6057.2,0.18441267741771378,0.35631072900239097,0.5407234064201049,0.6490457637192102,0.23126196922670542
Projection,2034,728,640.5,1814.7,1513.3,1423.2,3968.6,6119.7,0.18344000403164845,0.35861512876077206,0.5420551327924205,0.6484958412994101,0.23256041962841317
Projection,2035,731.4,641.6,1820.3,1542.2,1445.5,4004.1,6181.1,0.18266277066007341,0.3610049699058465,0.5436677405659199,0.6477973176295481,0.2338580511559431
Projection,2036,735.9,641.2,1824.8,1572.5,1466.8,4038.6,6241.2,0.1822166097162383,0.3631951666419056,0.5454117763581439,0.6470870986348779,0.2350189066205217
Projection,2037,740,639.1,1830.2,1607.7,1483,4077,6300.1,0.18150600932057886,0.363747853814079,0.5452538631346578,0.6471325851970603,0.23539308899858732
Projection,2038,745.4,633,1837.2,1644.2,1497.8,4114.4,6357.7,0.18116857865059305,0.36403849893058526,0.5452070775811783,0.6471522720480677,0.23558834169589632
Projection,2039,748.5,628.9,1842.7,1682.3,1511.6,4153.9,6414,0.1801921086208142,0.36389898649461955,0.5440910951154337,0.64763018397256,0.23567196757093856
Projection,2040,748.8,626.2,1847.1,1722,1524.8,4195.3,6469,0.1784854480013348,0.36345434176340186,0.5419397897647367,0.6485237285515536,0.23570876487865203
Projection,2041,749.8,622.5,1850.8,1762.4,1537.3,4235.7,6522.8,0.17701914677621172,0.3629388294732866,0.5399579762494983,0.6493683694119089,0.23568099589133498
Projection,2042,749.3,619.7,1855.4,1801.9,1549.3,4277,6575.5,0.1751928922141688,0.36223988777180266,0.5374327799859715,0.6504448330925405,0.23561706334119079
Projection,2043,747.4,620,1859.7,1838.9,1561.3,4318.6,6627.3,0.1730653452507757,0.3615291992775436,0.5345945445283192,0.6516379219289907,0.2355861361338705
Projection,2044,744.5,623,1864.7,1871,1575.1,4358.7,6678.2,0.17080780966802028,0.3613692155918049,0.5321770252598251,0.6526758707436136,0.23585696744631787
Projection,2045,741,627.3,1869.5,1900.1,1590.5,4396.9,6728.4,0.16852782642316178,0.36173212945484323,0.530259955878005,0.6534837405623922,0.23638606503775045
Projection,2046,737.1,633.3,1873.3,1926.1,1608.2,4432.7,6778,0.16628691316804659,0.3628037088005054,0.5290906219685519,0.6539834759516081,0.23726763056948952
